Experimento;Algoritmo;Heuristica;Tempo(s);Passos
16;A*;Manhattan;0.001502;20
16;IDA*;Manhattan;0.000392;20
16;A*;ForaLugar;0.368579;20
16;IDA*;ForaLugar;0.029337;20
16;IDDFS;Nenhuma;0.635496;20
16;DFS;SemHeuristica;1.776605;30
16;IDS;SemHeuristica;0.484729;20
16;Bidirecional;BFS;0.026954;11
16;BFS;SemHeuristica;69.617445;20
17;A*;Manhattan;0.000655;20
17;IDA*;Manhattan;0.000204;20
17;A*;ForaLugar;0.237354;20
17;IDA*;ForaLugar;0.013599;20
17;IDDFS;Nenhuma;0.298805;20
17;DFS;SemHeuristica;0.026667;28
17;IDS;SemHeuristica;0.221270;20
17;Bidirecional;BFS;0.021955;10
17;BFS;SemHeuristica;27.953191;20
18;A*;Manhattan;0.002799;19
18;IDA*;Manhattan;0.000531;19
18;A*;ForaLugar;0.190885;19
18;IDA*;ForaLugar;0.019954;19
18;IDDFS;Nenhuma;0.318673;19
18;DFS;SemHeuristica;0.578159;31
18;IDS;SemHeuristica;0.246597;19
18;Bidirecional;BFS;0.014832;10
18;BFS;SemHeuristica;17.317486;19
19;A*;Manhattan;0.146088;24
19;IDA*;Manhattan;0.011245;24
19;A*;ForaLugar;17.465280;24
19;IDA*;ForaLugar;0.207520;24
19;IDDFS;Nenhuma;4.555588;24
19;DFS;SemHeuristica;0.065186;30
19;IDS;SemHeuristica;3.522780;24
19;Bidirecional;BFS;0.126561;12
19;BFS;SemHeuristica;242.117135;FALHOU
20;A*;Manhattan;0.042861;23
20;IDA*;Manhattan;0.010390;23
20;A*;ForaLugar;5.188067;23
20;IDA*;ForaLugar;0.090604;23
20;IDDFS;Nenhuma;2.421058;23
20;DFS;SemHeuristica;0.061454;31
20;IDS;SemHeuristica;1.809550;23
20;Bidirecional;BFS;0.100973;12
20;BFS;SemHeuristica;242.362902;FALHOU
